               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.034354,            0.042185,            0.014055,             0.88911,              0.7939,              0.8952,             0.68081,            0.025211,            0.017943,           0.0045837,           0.0091452,           0.0091452,           0.0091452
                 108,            0.034175,            0.040729,            0.014413,              0.9004,             0.78947,             0.89653,             0.68274,            0.025101,            0.017867,           0.0045325,           0.0091296,           0.0091296,           0.0091296
                 109,            0.034217,            0.041473,              0.0139,             0.88933,             0.80417,             0.89886,             0.68606,            0.025027,            0.017785,           0.0044785,           0.0091138,           0.0091138,           0.0091138
                 110,            0.034281,            0.042287,            0.014056,             0.88734,             0.80646,             0.89978,             0.68727,            0.024914,            0.017768,           0.0044327,            0.009098,            0.009098,            0.009098
                 111,            0.034156,            0.041623,            0.014018,             0.90217,              0.8019,             0.90226,             0.69026,             0.02481,            0.017626,           0.0043914,           0.0090821,           0.0090821,           0.0090821
                 112,            0.034253,            0.040952,               0.014,              0.8963,              0.8075,             0.90392,             0.69257,            0.024771,            0.017556,           0.0043456,            0.009066,            0.009066,            0.009066
                 113,            0.034362,            0.040828,            0.013818,             0.90325,             0.80424,             0.90464,             0.69416,            0.024684,            0.017496,           0.0042943,           0.0090498,           0.0090498,           0.0090498
                 114,            0.034103,            0.040578,            0.013666,             0.89116,             0.81809,             0.90586,             0.69625,            0.024654,            0.017442,           0.0042799,           0.0090334,           0.0090334,           0.0090334
                 115,            0.034196,            0.041883,            0.014104,             0.88915,              0.8233,             0.90863,              0.6994,            0.024506,            0.017333,           0.0042149,            0.009017,            0.009017,            0.009017
                 116,            0.034318,             0.04243,            0.014157,             0.89808,             0.81625,             0.90827,             0.69909,            0.024445,            0.017349,           0.0042179,           0.0090004,           0.0090004,           0.0090004
                 117,            0.034049,             0.04152,            0.013629,             0.90294,             0.81264,              0.9089,             0.70067,            0.024379,            0.017298,           0.0041574,           0.0089838,           0.0089838,           0.0089838
                 118,            0.033643,            0.040472,            0.013597,             0.89168,             0.82188,             0.90987,             0.70248,            0.024311,            0.017238,           0.0041049,            0.008967,            0.008967,            0.008967
